Mes Año,Indice,Variación anual %,Variación mensual %,Variación año corrido %
201805,"99,16","3,16","0,25","2,31"
201804,"98,91","3,13","0,46","2,05"
201803,"98,45","3,14","0,24","1,58"
201802,"98,22","3,37","0,71","1,34"
201801,"97,53","3,68","0,63","0,63"
201712,"96,92","4,09","0,38","4,09"
201711,"96,55","4,12","0,18","3,69"
201710,"96,37","4,05","0,02","3,5"
201709,"96,36","3,97","0,04","3,49"
201708,"96,32","3,87","0,14","3,44"
201707,"96,18","3,4","-0,05","3,3"
201706,"96,23","3,99","0,11","3,35"
201705,"96,12","4,37","0,23","3,23"
201704,"95,91","4,66","0,47",3
201703,"95,46","4,69","0,47","2,52"
201702,"95,01","5,18","1,01","2,04"
201701,"94,07","5,47","1,02","1,02"
201612,"93,11","5,75","0,42","5,75"
201611,"92,73","5,96","0,11","5,31"
201610,"92,62","6,48","-0,06","5,19"
201609,"92,68","7,27","-0,05","5,25"
201608,"92,73","8,1","-0,32","5,31"
201607,"93,02","8,97","0,52","5,65"
201606,"92,54","8,6","0,48","5,1"
201605,"92,1","8,2","0,51","4,6"
201604,"91,63","7,93","0,5","4,07"
201603,"91,18","7,98","0,94","3,55"
201602,"90,33","7,59","1,28","2,59"
201601,"89,19","7,45","1,29","1,29"
201512,"88,05","6,77","0,62","6,77"
201511,"87,51","6,39","0,6","6,11"
201510,"86,98","5,89","0,68","5,47"
201509,"86,39","5,35","0,72","4,76"
201508,"85,78","4,74","0,48","4,02"
201507,"85,37","4,46","0,19","3,52"
201506,"85,21","4,42","0,1","3,33"
201505,"85,12","4,41","0,26","3,22"
201504,"84,9","4,64","0,54","2,95"
201503,"84,45","4,56","0,59","2,4"
201502,"83,96","4,36","1,15","1,8"
201501,83,"3,82","0,64","0,64"
201412,"82,47","3,66","0,27","3,66"
201411,"82,25","3,65","0,13","3,38"
201410,"82,14","3,29","0,16","3,25"
201409,"82,01","2,86","0,14","3,08"
201408,"81,9","3,02","0,2","2,94"
201407,"81,73","2,89","0,15","2,73"
201406,"81,61","2,79","0,09","2,57"
201405,"81,53","2,93","0,48","2,48"
201404,"81,14","2,72","0,46","1,98"
201403,"80,77","2,51","0,39","1,52"
201402,"80,45","2,32","0,63","1,12"
201401,"79,95","2,13","0,49","0,49"
201312,"79,56","1,94","0,26","1,94"
201311,"79,35","1,76","-0,22","1,67"
201310,"79,52","1,84","-0,26","1,89"
201309,"79,73","2,27","0,29","2,16"
201308,"79,5","2,27","0,08","1,86"
201307,"79,43","2,22","0,04","1,77"
201306,"79,39","2,16","0,23","1,73"
201305,"79,21",2,"0,28","1,49"
201304,"78,99","2,02","0,25","1,21"
201303,"78,79","1,91","0,21","0,95"
201302,"78,63","1,83","0,44","0,74"
201301,"78,28",2,"0,3","0,3"
201212,"78,05","2,44","0,09","2,44"
201211,"77,98","2,77","-0,14","2,34"
201210,"78,08","3,06","0,16","2,48"
201209,"77,96","3,08","0,29","2,32"
201208,"77,73","3,11","0,04","2,03"
201207,"77,7","3,03","-0,02","1,98"
201206,"77,72","3,2","0,08","2,01"
201205,"77,66","3,44","0,3","1,92"
201204,"77,42","3,43","0,14","1,62"
201203,"77,31","3,4","0,12","1,47"
201202,"77,22","3,55","0,61","1,35"
201201,"76,75","3,54","0,73","0,73"
201112,"76,19","3,73","0,42","3,73"
201111,"75,87","3,96","0,14","3,29"
201110,"75,77","4,02","0,19","3,15"
201109,"75,62","3,73","0,31","2,95"
201108,"75,39","3,27","-0,03","2,64"
201107,"75,42","3,42","0,14","2,67"
201106,"75,31","3,23","0,32","2,53"
201105,"75,07","3,02","0,28","2,2"
201104,"74,86","2,84","0,12","1,91"
201103,"74,77","3,19","0,27","1,79"
201102,"74,57","3,17","0,6","1,52"
201101,"74,12","3,4","0,91","0,91"
201012,"73,45","3,17","0,65","3,17"
201011,"72,98","2,59","0,19","2,51"
201010,"72,84","2,33","-0,09","2,31"
201009,"72,9","2,28","-0,14","2,4"
201008,73,"2,31","0,11","2,54"
201007,"72,92","2,24","-0,04","2,42"
201006,"72,95","2,25","0,11","2,47"
201005,"72,87","2,07","0,1","2,35"
201004,"72,79","1,98","0,46","2,24"
201003,"72,46","1,84","0,25","1,78"
201002,"72,28","2,09","0,83","1,52"
201001,"71,69","2,1","0,69","0,69"
200912,"71,2",2,"0,08",2
200911,"71,14","2,37","-0,07","1,92"
200910,"71,19","2,72","-0,13","1,98"
200909,"71,28","3,21","-0,11","2,12"
200908,"71,35","3,13","0,04","2,23"
200907,"71,32","3,28","-0,04","2,18"
200906,"71,35","3,81","-0,06","2,22"
200905,"71,39","4,77","0,01","2,28"
200904,"71,38","5,73","0,32","2,26"
200903,"71,15","6,14","0,5","1,94"
200902,"70,8","6,47","0,84","1,43"
200901,"70,21","7,18","0,59","0,59"
200812,"69,8","7,67","0,44","7,67"
200811,"69,49","7,73","0,28","7,2"
200810,"69,3","7,94","0,35","6,9"
200809,"69,06","7,57","-0,19","6,53"
200808,"69,19","7,87","0,19","6,74"
200807,"69,06","7,52","0,48","6,53"
200806,"68,73","7,18","0,86","6,02"
200805,"68,14","6,39","0,93","5,12"
200804,"67,51","5,73","0,71","4,15"
200803,"67,04","5,93","0,81","3,41"
200802,"66,5","6,35","1,51","2,58"
200801,"65,51",6,"1,06","1,06"
200712,"64,82","5,69","0,49","5,69"
200711,"64,51","5,41","0,47","5,17"
200710,"64,2","5,16","0,01","4,68"
200709,"64,2","5,01","0,08","4,67"
200708,"64,14","5,22","-0,13","4,58"
200707,"64,23","5,77","0,17","4,72"
200706,"64,12","6,03","0,12","4,55"
200705,"64,05","6,23","0,3","4,42"
200704,"63,85","6,26","0,9","4,11"
200703,"63,29","5,78","1,21","3,18"
200702,"62,53","5,25","1,17","1,95"
200701,"61,8","4,71","0,77","0,77"
200612,"61,33","4,48","0,23","4,48"
200611,"61,19","4,31","0,24","4,24"
200610,"61,05","4,19","-0,14",4
200609,"61,14","4,58","0,29","4,15"
200608,"60,96","4,72","0,39","3,85"
200607,"60,73","4,32","0,41","3,44"
200606,"60,48","3,94","0,3","3,02"
200605,"60,29","4,04","0,33","2,71"
200604,"60,09","4,12","0,45","2,37"
200603,"59,83","4,11","0,7","1,91"
200602,"59,41","4,19","0,66","1,2"
200601,"59,02","4,56","0,54","0,54"
200512,"58,7","4,85","0,07","4,85"
200511,"58,66","5,1","0,11","4,78"
200510,"58,6","5,27","0,23","4,66"
200509,"58,46","5,02","0,43","4,42"
200508,"58,21","4,88",0,"3,98"
200507,"58,21","4,91","0,05","3,98"
200506,"58,18","4,83","0,4","3,93"
200505,"57,95","5,04","0,41","3,51"
200504,"57,72","5,01","0,44","3,09"
200503,"57,46","5,03","0,77","2,64"
200502,"57,02","5,25","1,02","1,85"
200501,"56,45","5,43","0,82","0,82"
200412,"55,99","5,5","0,3","5,5"
200411,"55,82","5,82","0,28","5,18"
200410,"55,66","5,9","-0,01","4,89"
200409,"55,67","5,97","0,3","4,9"
200408,"55,51","5,89","0,03","4,59"
200407,"55,49","6,19","-0,03","4,56"
200406,"55,51","6,07","0,6","4,59"
200405,"55,17","5,37","0,38","3,97"
200404,"54,96","5,49","0,46","3,57"
200403,"54,71","6,21","0,98","3,1"
200402,"54,18","6,28","1,2","2,1"
200401,"53,54","6,19","0,89","0,89"
200312,"53,07","6,49","0,61","6,49"
200311,"52,75","6,13","0,35","5,85"
200310,"52,56","6,58","0,06","5,48"
200309,"52,53","7,11","0,22","5,42"
200308,"52,42","7,26","0,31","5,18"
200307,"52,26","7,04","-0,14","4,86"
200306,"52,33","7,21","-0,05","5,01"
200305,"52,36","7,73","0,49","5,07"
200304,"52,1","7,85","1,15","4,56"
200303,"51,51","7,6","1,05","3,37"
200302,"50,98","7,24","1,11","2,3"
200301,"50,42","7,39","1,17","1,17"
200212,"49,83","6,99","0,27","6,99"
200211,"49,7","7,07","0,78","6,71"
200210,"49,32","6,37","0,56","5,88"
200209,"49,04","5,97","0,36","5,3"
200208,"48,87","5,98","0,09","4,92"
200207,"48,82","6,16","0,02","4,82"
200206,"48,81","6,25","0,43","4,79"
200205,"48,6","5,84","0,6","4,35"
200204,"48,31","5,65","0,92","3,73"
200203,"47,87","5,89","0,71","2,79"
